movieId,title,genres,rating,overview,cast,crew,keywords,combined
1,Toy Story (1995),"['adventure', 'animation', 'children', 'comedy', 'fantasy']",3.8974375697494095,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","['tomhanks', 'timallen', 'donrickles', 'jimvarney', 'wallaceshawn']",['johnlasseter'],"['jealousy', 'toy', 'boy', 'friendship', 'friends', 'rivalry', 'boynextdoor', 'newtoy', 'toycomestolife']",adventure animation children comedy fantasy jealousy toy boy friendship friends rivalry boynextdoor newtoy toycomestolife tomhanks timallen donrickles jimvarney wallaceshawn johnlasseter
10,GoldenEye (1995),"['action', 'adventure', 'thriller']",3.4278499722855207,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,"['piercebrosnan', 'seanbean', 'izabellascorupco', 'famkejanssen', 'joedonbaker']",['martincampbell'],"['cuba', 'falselyaccused', 'secretidentity', 'computervirus', 'secretbase', 'secretintelligenceservice', 'kgb', 'satellite', 'specialcar', 'cossack', 'electromagneticpulse', 'timebomb', 'st.petersburgrussia', 'ejectionseat', 'redarmy']",action adventure thriller cuba falselyaccused secretidentity computervirus secretbase secretintelligenceservice kgb satellite specialcar cossack electromagneticpulse timebomb st.petersburgrussia ejectionseat redarmy piercebrosnan seanbean izabellascorupco famkejanssen joedonbaker martincampbell
11,"American President, The (1995)","['comedy', 'drama', 'romance']",3.6571600355518377,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.","['michaeldouglas', 'annettebening', 'michaelj.fox', 'martinsheen', 'annadeaveresmith']",['robreiner'],"['whitehouse', 'usapresident', 'newlove', 'widower', 'wildlifeconservation']",comedy drama romance whitehouse usapresident newlove widower wildlifeconservation michaeldouglas annettebening michaelj.fox martinsheen annadeaveresmith robreiner
14,Nixon (1995),['drama'],3.428302812295618,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.","['anthonyhopkins', 'joanallen', 'powersboothe', 'edharris', 'bobhoskins']",['oliverstone'],"['usapresident', 'presidentialelection', 'watergatescandal', 'biography', 'government', 'historicalfigure']",drama usapresident presidentialelection watergatescandal biography government historicalfigure anthonyhopkins joanallen powersboothe edharris bobhoskins oliverstone
15,Cutthroat Island (1995),"['action', 'adventure', 'romance']",2.7308809293320424,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.","['geenadavis', 'matthewmodine', 'franklangella', 'maurychaykin', 'patrickmalahide']",['rennyharlin'],"['exoticisland', 'treasure', 'map', 'ship', 'scalp', 'pirate']",action adventure romance exoticisland treasure map ship scalp pirate geenadavis matthewmodine franklangella maurychaykin patrickmalahide rennyharlin
16,Casino (1995),"['crime', 'drama']",3.8383487308278768,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,"['robertdeniro', 'sharonstone', 'joepesci', 'jameswoods', 'donrickles']",['martinscorsese'],"['poker', 'drugabuse', '1970s', 'overdose', 'illegalprostitution']",crime drama poker drugabuse 1970s overdose illegalprostitution robertdeniro sharonstone joepesci jameswoods donrickles martinscorsese
17,Sense and Sensibility (1995),"['drama', 'romance']",3.9451260617500337,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.","['katewinslet', 'emmathompson', 'hughgrant', 'tomwilkinson', 'alanrickman']",['anglee'],"['bowling', 'basedonnovel', 'servant', 'countrylife', 'janeausten', 'inheritance', 'militaryofficer', 'perioddrama', 'rainstorm', 'horseandcarriage', 'decorum']",drama romance bowling basedonnovel servant countrylife janeausten inheritance militaryofficer perioddrama rainstorm horseandcarriage decorum katewinslet emmathompson hughgrant tomwilkinson alanrickman anglee
18,Four Rooms (1995),['comedy'],3.403488935551607,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"['timroth', 'antoniobanderas', 'jenniferbeals', 'madonna', 'marisatomei']","['allisonanders', 'alexandrerockwell', 'robertrodriguez', 'quentintarantino']","['hotel', ""newyear'seve"", 'witch', 'bet', 'hotelroom', 'sperm', 'losangeles', 'hoodlum', 'womandirector', 'episodefilm']",comedy hotel newyear'seve witch bet hotelroom sperm losangeles hoodlum womandirector episodefilm timroth antoniobanderas jenniferbeals madonna marisatomei allisonanders alexandrerockwell robertrodriguez quentintarantino
19,Ace Ventura: When Nature Calls (1995),['comedy'],2.663910016499658,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.","['jimcarrey', 'ianmcneice', 'simoncallow', 'maynardeziashi', 'bobgunton']",['steveoedekerk'],"['africa', 'indigenous', 'humananimalrelationship', 'bat']",comedy africa indigenous humananimalrelationship bat jimcarrey ianmcneice simoncallow maynardeziashi bobgunton steveoedekerk
20,Money Train (1995),"['action', 'comedy', 'crime', 'drama', 'thriller']",2.8714584300975385,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","['wesleysnipes', 'woodyharrelson', 'jenniferlopez', 'robertblake', 'chriscooper']",['josephruben'],"['brotherbrotherrelationship', 'subway', 'newyorkcity', 'newyorksubway', 'trainrobbery']",action comedy crime drama thriller brotherbrotherrelationship subway newyorkcity newyorksubway trainrobbery wesleysnipes woodyharrelson jenniferlopez robertblake chriscooper josephruben
21,Get Shorty (1995),"['comedy', 'crime', 'thriller']",3.5650851826493213,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","['johntravolta', 'genehackman', 'renerusso', 'dannydevito', 'dennisfarina']",['barrysonnenfeld'],"['gambling', 'miami', 'basedonnovel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'gangster', 'crime', 'violence', 'drug', 'producer', 'con']",comedy crime thriller gambling miami basedonnovel job murder travel mafia money debt mobster business hollywood gangster crime violence drug producer con johntravolta genehackman renerusso dannydevito dennisfarina barrysonnenfeld
22,Copycat (1995),"['crime', 'drama', 'horror', 'mystery', 'thriller']",3.315886401085587,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"['sigourneyweaver', 'hollyhunter', 'willpatton', 'williammcnamara', 'harryconnickjr.']",['jonamiel'],"['policebrutality', 'psychology', 'policeoperation', 'policeprotection', 'serialkiller', 'psychologist', 'cowardliness']",crime drama horror mystery thriller policebrutality psychology policeoperation policeprotection serialkiller psychologist cowardliness sigourneyweaver hollyhunter willpatton williammcnamara harryconnickjr. jonamiel
